local_datetime,"""Solar""","""Wind Offshore""","""Wind Onshore"""
2018-01-01 00:00:00+00:00,0,4835.335,5870.158
2018-01-01 00:30:00+00:00,0,4835.335,5870.158
2018-01-01 01:00:00+00:00,0,4936.077,5895.675
2018-01-01 01:30:00+00:00,0,4936.077,5895.675
2018-01-01 02:00:00+00:00,0,5001.873,5833.971
2018-01-01 02:30:00+00:00,0,5001.873,5833.971
2018-01-01 03:00:00+00:00,0,5027.64,5828.267
2018-01-01 03:30:00+00:00,0,5027.64,5828.267
2018-01-01 04:00:00+00:00,0,4986.147,5763.239
2018-01-01 04:30:00+00:00,0,4986.147,5763.239
2018-01-01 05:00:00+00:00,0,4925.408,5605.051
2018-01-01 05:30:00+00:00,0,4925.408,5605.051
2018-01-01 06:00:00+00:00,0,4838.013,5451.139
2018-01-01 06:30:00+00:00,0,4838.013,5451.139
2018-01-01 07:00:00+00:00,0,4704.636,5222.947
2018-01-01 07:30:00+00:00,0,4704.636,5222.947
2018-01-01 08:00:00+00:00,88,4548.504,4974.387
2018-01-01 08:30:00+00:00,176,4548.504,4974.387
2018-01-01 09:00:00+00:00,435,4348.32,4745.288
2018-01-01 09:30:00+00:00,694,4348.32,4745.288
2018-01-01 10:00:00+00:00,1007,4185.598,4701.736
2018-01-01 10:30:00+00:00,1320,4185.598,4701.736
2018-01-01 11:00:00+00:00,1540,3957.844,4725.066
2018-01-01 11:30:00+00:00,1759,3957.844,4725.066
2018-01-01 12:00:00+00:00,1822,3670.863,4650.554
2018-01-01 12:30:00+00:00,1885,3670.863,4650.554
2018-01-01 13:00:00+00:00,1740,3560.298,4631.013
2018-01-01 13:30:00+00:00,1595,3560.298,4631.013
2018-01-01 14:00:00+00:00,1309,3460.031,4651.677
2018-01-01 14:30:00+00:00,1022,3460.031,4651.677
2018-01-01 15:00:00+00:00,700,3445.704,4741.217
2018-01-01 15:30:00+00:00,378,3445.704,4741.217
2018-01-01 16:00:00+00:00,201,3836.401,5095.075
2018-01-01 16:30:00+00:00,24,3836.401,5095.075
2018-01-01 17:00:00+00:00,12,4189.843,5353.204
2018-01-01 17:30:00+00:00,0,4189.843,5353.204
2018-01-01 18:00:00+00:00,0,4588.23,5669.101
2018-01-01 18:30:00+00:00,0,4588.23,5669.101
2018-01-01 19:00:00+00:00,0,4758.884,5833.818
2018-01-01 19:30:00+00:00,0,4758.884,5833.818
2018-01-01 20:00:00+00:00,0,4870.026,5819.457
2018-01-01 20:30:00+00:00,0,4870.026,5819.457
2018-01-01 21:00:00+00:00,0,4933.793,5705.943
2018-01-01 21:30:00+00:00,0,4933.793,5705.943
2018-01-01 22:00:00+00:00,0,4927.356,5527.19
2018-01-01 22:30:00+00:00,0,4927.356,5527.19
2018-01-01 23:00:00+00:00,0,4878.575,5259.375
2018-01-01 23:30:00+00:00,0,4878.575,5259.375
2018-01-02 00:00:00+00:00,0,4672.458,5207.216
2018-01-02 00:30:00+00:00,0,4672.458,5207.216
2018-01-02 01:00:00+00:00,0,4532.277,4804.22
2018-01-02 01:30:00+00:00,0,4532.277,4804.22
2018-01-02 02:00:00+00:00,0,4365.979,4308.061
2018-01-02 02:30:00+00:00,0,4365.979,4308.061
2018-01-02 03:00:00+00:00,0,4159.688,3800.584
2018-01-02 03:30:00+00:00,0,4159.688,3800.584
2018-01-02 04:00:00+00:00,0,3857.725,3397.447
2018-01-02 04:30:00+00:00,0,3857.725,3397.447
2018-01-02 05:00:00+00:00,0,3550.597,3165.821
2018-01-02 05:30:00+00:00,0,3550.597,3165.821
2018-01-02 06:00:00+00:00,0,3163.054,3025.45
2018-01-02 06:30:00+00:00,0,3163.054,3025.45
2018-01-02 07:00:00+00:00,0,3148.878,3441.744
2018-01-02 07:30:00+00:00,0,3148.878,3441.744
2018-01-02 08:00:00+00:00,38,3159.549,4058.163
2018-01-02 08:30:00+00:00,76,3159.549,4058.163
2018-01-02 09:00:00+00:00,144,3248.365,4737.837
2018-01-02 09:30:00+00:00,212,3248.365,4737.837
2018-01-02 10:00:00+00:00,270,3523.404,5371.588
2018-01-02 10:30:00+00:00,328,3523.404,5371.588
2018-01-02 11:00:00+00:00,395,3756.699,5937.03
2018-01-02 11:30:00+00:00,462,3756.699,5937.03
2018-01-02 12:00:00+00:00,543,3948.054,6295.231
2018-01-02 12:30:00+00:00,624,3948.054,6295.231
2018-01-02 13:00:00+00:00,662,4467.83,6410.475
2018-01-02 13:30:00+00:00,700,4467.83,6410.475
2018-01-02 14:00:00+00:00,624,4751.713,6320.775
2018-01-02 14:30:00+00:00,547,4751.713,6320.775
2018-01-02 15:00:00+00:00,379,4821.529,6163.133
2018-01-02 15:30:00+00:00,210,4821.529,6163.133
2018-01-02 16:00:00+00:00,111,4731.172,5989.464
2018-01-02 16:30:00+00:00,12,4731.172,5989.464
2018-01-02 17:00:00+00:00,6,4638.141,5860.025
2018-01-02 17:30:00+00:00,0,4638.141,5860.025
2018-01-02 18:00:00+00:00,0,4549.02,5875.727
2018-01-02 18:30:00+00:00,0,4549.02,5875.727
2018-01-02 19:00:00+00:00,0,4669.22,5719.205
2018-01-02 19:30:00+00:00,0,4669.22,5719.205
2018-01-02 20:00:00+00:00,0,4789.886,5862.587
2018-01-02 20:30:00+00:00,0,4789.886,5862.587
2018-01-02 21:00:00+00:00,0,4937.129,5983.435
2018-01-02 21:30:00+00:00,0,4937.129,5983.435
2018-01-02 22:00:00+00:00,0,5164.541,6206.911
2018-01-02 22:30:00+00:00,0,5164.541,6206.911
2018-01-02 23:00:00+00:00,0,5240.89,6318.826
2018-01-02 23:30:00+00:00,0,5240.89,6318.826
2018-01-03 00:00:00+00:00,0,4100.277,5668.324
2018-01-03 00:30:00+00:00,0,4100.277,5668.324
2018-01-03 01:00:00+00:00,0,4101.295,5859.144
2018-01-03 01:30:00+00:00,0,4101.295,5859.144
2018-01-03 02:00:00+00:00,0,4280.597,6033.625
2018-01-03 02:30:00+00:00,0,4280.597,6033.625
2018-01-03 03:00:00+00:00,0,4275.686,6541.177
2018-01-03 03:30:00+00:00,0,4275.686,6541.177
2018-01-03 04:00:00+00:00,0,3885.668,6106.866
2018-01-03 04:30:00+00:00,0,3885.668,6106.866
2018-01-03 05:00:00+00:00,0,3242.405,5990.146
2018-01-03 05:30:00+00:00,0,3242.405,5990.146
2018-01-03 06:00:00+00:00,0,3032.308,6083.592
2018-01-03 06:30:00+00:00,0,3032.308,6083.592
2018-01-03 07:00:00+00:00,0,3437.245,5988.541
2018-01-03 07:30:00+00:00,0,3437.245,5988.541
2018-01-03 08:00:00+00:00,78,3261.167,6045.199
2018-01-03 08:30:00+00:00,156,3261.167,6045.199
2018-01-03 09:00:00+00:00,407,3475.395,6059.87
2018-01-03 09:30:00+00:00,657,3475.395,6059.87
2018-01-03 10:00:00+00:00,960,4161.013,6050.152
2018-01-03 10:30:00+00:00,1263,4161.013,6050.152
2018-01-03 11:00:00+00:00,1444,5022.573,6491.155
2018-01-03 11:30:00+00:00,1624,5022.573,6491.155
2018-01-03 12:00:00+00:00,1669,5025.996,6511.643
2018-01-03 12:30:00+00:00,1714,5025.996,6511.643
2018-01-03 13:00:00+00:00,1632,5041.019,6525.12
2018-01-03 13:30:00+00:00,1549,5041.019,6525.12
2018-01-03 14:00:00+00:00,1302,5275.38,6411.592
2018-01-03 14:30:00+00:00,1054,5275.38,6411.592
2018-01-03 15:00:00+00:00,716,5267.133,6193.565
2018-01-03 15:30:00+00:00,378,5267.133,6193.565
2018-01-03 16:00:00+00:00,202,5259.077,6048.517
2018-01-03 16:30:00+00:00,25,5259.077,6048.517
2018-01-03 17:00:00+00:00,13,5245.386,5801.634
2018-01-03 17:30:00+00:00,0,5245.386,5801.634
2018-01-03 18:00:00+00:00,0,5228.357,5655.579
2018-01-03 18:30:00+00:00,0,5228.357,5655.579
2018-01-03 19:00:00+00:00,0,5204.14,5764.149
2018-01-03 19:30:00+00:00,0,5204.14,5764.149
2018-01-03 20:00:00+00:00,0,5182.22,5648.575
2018-01-03 20:30:00+00:00,0,5182.22,5648.575
2018-01-03 21:00:00+00:00,0,5157.502,5557.403
2018-01-03 21:30:00+00:00,0,5157.502,5557.403
2018-01-03 22:00:00+00:00,0,5106.881,5248.761
2018-01-03 22:30:00+00:00,0,5106.881,5248.761
2018-01-03 23:00:00+00:00,0,5029.205,4834.864
2018-01-03 23:30:00+00:00,0,5029.205,4834.864
2018-01-04 00:00:00+00:00,0,4984.911,4137.067
2018-01-04 00:30:00+00:00,0,4984.911,4137.067
2018-01-04 01:00:00+00:00,0,4754.191,3564.502
2018-01-04 01:30:00+00:00,0,4754.191,3564.502
2018-01-04 02:00:00+00:00,0,4395.285,2986.644
2018-01-04 02:30:00+00:00,0,4395.285,2986.644
2018-01-04 03:00:00+00:00,0,3863.566,2374.004
2018-01-04 03:30:00+00:00,0,3863.566,2374.004
2018-01-04 04:00:00+00:00,0,3297.905,2100.256
2018-01-04 04:30:00+00:00,0,3297.905,2100.256
2018-01-04 05:00:00+00:00,0,2702.603,1983.436
2018-01-04 05:30:00+00:00,0,2702.603,1983.436
2018-01-04 06:00:00+00:00,0,2152.391,1971.305
2018-01-04 06:30:00+00:00,0,2152.391,1971.305
2018-01-04 07:00:00+00:00,0,1800.208,2064.802
2018-01-04 07:30:00+00:00,0,1800.208,2064.802
2018-01-04 08:00:00+00:00,32,1597.989,2196.791
2018-01-04 08:30:00+00:00,64,1597.989,2196.791
2018-01-04 09:00:00+00:00,192,1534.778,2433.589
2018-01-04 09:30:00+00:00,320,1534.778,2433.589
2018-01-04 10:00:00+00:00,528,1846.015,2845.001
2018-01-04 10:30:00+00:00,736,1846.015,2845.001
2018-01-04 11:00:00+00:00,937,2453.269,3265.396
2018-01-04 11:30:00+00:00,1137,2453.269,3265.396
2018-01-04 12:00:00+00:00,1238,3097.376,3615.989
2018-01-04 12:30:00+00:00,1338,3097.376,3615.989
2018-01-04 13:00:00+00:00,1298,3619.641,3956.431
2018-01-04 13:30:00+00:00,1257,3619.641,3956.431
2018-01-04 14:00:00+00:00,1066,4104.771,4222.705
2018-01-04 14:30:00+00:00,875,4104.771,4222.705
2018-01-04 15:00:00+00:00,600,4399.799,4354.12
2018-01-04 15:30:00+00:00,324,4399.799,4354.12
2018-01-04 16:00:00+00:00,176,4672.076,4376.713
2018-01-04 16:30:00+00:00,28,4672.076,4376.713
2018-01-04 17:00:00+00:00,14,4849.873,4360.255
2018-01-04 17:30:00+00:00,0,4849.873,4360.255
2018-01-04 18:00:00+00:00,0,4952.002,4340.463
2018-01-04 18:30:00+00:00,0,4952.002,4340.463
2018-01-04 19:00:00+00:00,0,4947.457,4268.203
2018-01-04 19:30:00+00:00,0,4947.457,4268.203
2018-01-04 20:00:00+00:00,0,4889.264,4149.747
2018-01-04 20:30:00+00:00,0,4889.264,4149.747
2018-01-04 21:00:00+00:00,0,4812.775,4021.255
2018-01-04 21:30:00+00:00,0,4812.775,4021.255
2018-01-04 22:00:00+00:00,0,4671.021,3834.545
2018-01-04 22:30:00+00:00,0,4671.021,3834.545
2018-01-04 23:00:00+00:00,0,4477.184,3663.284
2018-01-04 23:30:00+00:00,0,4477.184,3663.284
2018-01-05 00:00:00+00:00,0,3976.5,2604.812
2018-01-05 00:30:00+00:00,0,3976.5,2604.812
2018-01-05 01:00:00+00:00,0,3494.962,2425.88
2018-01-05 01:30:00+00:00,0,3494.962,2425.88
2018-01-05 02:00:00+00:00,0,3029.208,2288.497
2018-01-05 02:30:00+00:00,0,3029.208,2288.497
2018-01-05 03:00:00+00:00,0,2697.047,2203.203
2018-01-05 03:30:00+00:00,0,2697.047,2203.203
2018-01-05 04:00:00+00:00,0,2616.498,2173.142
2018-01-05 04:30:00+00:00,0,2616.498,2173.142
2018-01-05 05:00:00+00:00,0,2462.518,2090.748
2018-01-05 05:30:00+00:00,0,2462.518,2090.748
2018-01-05 06:00:00+00:00,0,2265.583,2034.043
2018-01-05 06:30:00+00:00,0,2265.583,2034.043
2018-01-05 07:00:00+00:00,1,2202.575,2021.161
2018-01-05 07:30:00+00:00,1,2202.575,2021.161
2018-01-05 08:00:00+00:00,94,2137.892,2008.847
2018-01-05 08:30:00+00:00,186,2137.892,2008.847
2018-01-05 09:00:00+00:00,444,2078.989,2002.421
2018-01-05 09:30:00+00:00,702,2078.989,2002.421
2018-01-05 10:00:00+00:00,1010,2043.408,2012.78
2018-01-05 10:30:00+00:00,1317,2043.408,2012.78
2018-01-05 11:00:00+00:00,1499,2014.205,2036.419
2018-01-05 11:30:00+00:00,1680,2014.205,2036.419
2018-01-05 12:00:00+00:00,1689,1901.009,2091.926
2018-01-05 12:30:00+00:00,1697,1901.009,2091.926
2018-01-05 13:00:00+00:00,1568,1788.283,2222.161
2018-01-05 13:30:00+00:00,1438,1788.283,2222.161
2018-01-05 14:00:00+00:00,1199,1617.708,2306.885
2018-01-05 14:30:00+00:00,960,1617.708,2306.885
2018-01-05 15:00:00+00:00,662,1525.041,2507.671
2018-01-05 15:30:00+00:00,364,1525.041,2507.671
2018-01-05 16:00:00+00:00,196,1384.389,2835.771
2018-01-05 16:30:00+00:00,28,1384.389,2835.771
2018-01-05 17:00:00+00:00,14,1320.175,3181.784
2018-01-05 17:30:00+00:00,0,1320.175,3181.784
2018-01-05 18:00:00+00:00,0,1204.043,3540.547
2018-01-05 18:30:00+00:00,0,1204.043,3540.547
2018-01-05 19:00:00+00:00,0,1114.399,3900.763
2018-01-05 19:30:00+00:00,0,1114.399,3900.763
2018-01-05 20:00:00+00:00,0,1002.763,4233.326
2018-01-05 20:30:00+00:00,0,1002.763,4233.326
2018-01-05 21:00:00+00:00,0,924.429,4584.506
2018-01-05 21:30:00+00:00,0,924.429,4584.506
2018-01-05 22:00:00+00:00,0,909.041,4933.209
2018-01-05 22:30:00+00:00,0,909.041,4933.209
2018-01-05 23:00:00+00:00,0,932.124,5248.739
2018-01-05 23:30:00+00:00,0,932.124,5248.739
2018-01-06 00:00:00+00:00,0,983.545,4974.696
2018-01-06 00:30:00+00:00,0,983.545,4974.696
2018-01-06 01:00:00+00:00,0,948.833,5180.043
2018-01-06 01:30:00+00:00,0,948.833,5180.043
2018-01-06 02:00:00+00:00,0,970.399,5360.912
2018-01-06 02:30:00+00:00,0,970.399,5360.912
2018-01-06 03:00:00+00:00,0,1067.966,5626.278
2018-01-06 03:30:00+00:00,0,1067.966,5626.278
2018-01-06 04:00:00+00:00,0,1229.709,5871.393
2018-01-06 04:30:00+00:00,0,1229.709,5871.393
2018-01-06 05:00:00+00:00,0,1413.62,6031.529
2018-01-06 05:30:00+00:00,0,1413.62,6031.529
2018-01-06 06:00:00+00:00,0,1633.103,6193.499
2018-01-06 06:30:00+00:00,0,1633.103,6193.499
2018-01-06 07:00:00+00:00,0,1961.707,6186.236
2018-01-06 07:30:00+00:00,0,1961.707,6186.236
2018-01-06 08:00:00+00:00,67,2297.085,6164.684
2018-01-06 08:30:00+00:00,133,2297.085,6164.684
2018-01-06 09:00:00+00:00,327,2547.86,6076.408
2018-01-06 09:30:00+00:00,521,2547.86,6076.408
2018-01-06 10:00:00+00:00,759,2752.293,5913.465
2018-01-06 10:30:00+00:00,996,2752.293,5913.465
2018-01-06 11:00:00+00:00,1162,3009.33,5763.898
2018-01-06 11:30:00+00:00,1327,3009.33,5763.898
2018-01-06 12:00:00+00:00,1366,3215.55,5611.691
2018-01-06 12:30:00+00:00,1404,3215.55,5611.691
2018-01-06 13:00:00+00:00,1305,3488.387,5417.402
2018-01-06 13:30:00+00:00,1206,3488.387,5417.402
2018-01-06 14:00:00+00:00,1010,3772.55,5247.596
2018-01-06 14:30:00+00:00,813,3772.55,5247.596
2018-01-06 15:00:00+00:00,563,3972.539,4915.694
