local_datetime,Excess balance,Insufficient balance
2018-01-01 00:00:00+00:00,55.94,55.94
2018-01-01 00:30:00+00:00,55.94,55.94
2018-01-01 01:00:00+00:00,62.94,62.94
2018-01-01 01:30:00+00:00,31,31
2018-01-01 02:00:00+00:00,60.81165,60.81165
2018-01-01 02:30:00+00:00,65,65
2018-01-01 03:00:00+00:00,67.85626,67.85626
2018-01-01 03:30:00+00:00,65.7748,65.7748
2018-01-01 04:00:00+00:00,64.01503,64.01503
2018-01-01 04:30:00+00:00,61.42111,61.42111
2018-01-01 05:00:00+00:00,59.64802,59.64802
2018-01-01 05:30:00+00:00,65,65
2018-01-01 06:00:00+00:00,65,65
2018-01-01 06:30:00+00:00,65,65
2018-01-01 07:00:00+00:00,65,65
2018-01-01 07:30:00+00:00,63.91537,63.91537
2018-01-01 08:00:00+00:00,18.16975,18.16975
2018-01-01 08:30:00+00:00,21.83881,21.83881
2018-01-01 09:00:00+00:00,55.94,55.94
2018-01-01 09:30:00+00:00,64.95858,64.95858
2018-01-01 10:00:00+00:00,62.41571,62.41571
2018-01-01 10:30:00+00:00,65,65
2018-01-01 11:00:00+00:00,66.02662,66.02662
2018-01-01 11:30:00+00:00,68,68
2018-01-01 12:00:00+00:00,68,68
2018-01-01 12:30:00+00:00,68,68
2018-01-01 13:00:00+00:00,69.9,69.9
2018-01-01 13:30:00+00:00,65,65
2018-01-01 14:00:00+00:00,36.83533,36.83533
2018-01-01 14:30:00+00:00,35.6,35.6
2018-01-01 15:00:00+00:00,38.86754,38.86754
2018-01-01 15:30:00+00:00,40.05,40.05
2018-01-01 16:00:00+00:00,38.17677,38.17677
2018-01-01 16:30:00+00:00,45.15,45.15
2018-01-01 17:00:00+00:00,40.08491,40.08491
2018-01-01 17:30:00+00:00,41.76309,41.76309
2018-01-01 18:00:00+00:00,38.41384,38.41384
2018-01-01 18:30:00+00:00,36.64317,36.64317
2018-01-01 19:00:00+00:00,59.95,59.95
2018-01-01 19:30:00+00:00,59.95,59.95
2018-01-01 20:00:00+00:00,39.06589,39.06589
2018-01-01 20:30:00+00:00,38.08043,38.08043
2018-01-01 21:00:00+00:00,38.31446,38.31446
2018-01-01 21:30:00+00:00,38,38
2018-01-01 22:00:00+00:00,33.51662,33.51662
2018-01-01 22:30:00+00:00,30.92449,30.92449
2018-01-01 23:00:00+00:00,28.07784,28.07784
2018-01-01 23:30:00+00:00,24.67,24.67
2018-01-02 00:00:00+00:00,23.06323,23.06323
2018-01-02 00:30:00+00:00,25,25
2018-01-02 01:00:00+00:00,22,22
2018-01-02 01:30:00+00:00,22,22
2018-01-02 02:00:00+00:00,28.22193,28.22193
2018-01-02 02:30:00+00:00,59.49,59.49
2018-01-02 03:00:00+00:00,65,65
2018-01-02 03:30:00+00:00,65,65
2018-01-02 04:00:00+00:00,62.49778,62.49778
2018-01-02 04:30:00+00:00,61.75,61.75
2018-01-02 05:00:00+00:00,62.52238,62.52238
2018-01-02 05:30:00+00:00,64.94,64.94
2018-01-02 06:00:00+00:00,64.94,64.94
2018-01-02 06:30:00+00:00,34.02343,34.02343
2018-01-02 07:00:00+00:00,30.06964,30.06964
2018-01-02 07:30:00+00:00,31.21949,31.21949
2018-01-02 08:00:00+00:00,31.5,31.5
2018-01-02 08:30:00+00:00,33.65,33.65
2018-01-02 09:00:00+00:00,35.51217,35.51217
2018-01-02 09:30:00+00:00,36.20876,36.20876
2018-01-02 10:00:00+00:00,68.5,68.5
2018-01-02 10:30:00+00:00,105,105
2018-01-02 11:00:00+00:00,68.5,68.5
2018-01-02 11:30:00+00:00,68.5,68.5
2018-01-02 12:00:00+00:00,65.65503,65.65503
2018-01-02 12:30:00+00:00,39.33077,39.33077
2018-01-02 13:00:00+00:00,39.07,39.07
2018-01-02 13:30:00+00:00,39.07,39.07
2018-01-02 14:00:00+00:00,39.06,39.06
2018-01-02 14:30:00+00:00,37.99183,37.99183
2018-01-02 15:00:00+00:00,37.20531,37.20531
2018-01-02 15:30:00+00:00,37.56774,37.56774
2018-01-02 16:00:00+00:00,39.0899,39.0899
2018-01-02 16:30:00+00:00,39.12306,39.12306
2018-01-02 17:00:00+00:00,40.38722,40.38722
2018-01-02 17:30:00+00:00,94.9,94.9
2018-01-02 18:00:00+00:00,94.9,94.9
2018-01-02 18:30:00+00:00,43.73752,43.73752
2018-01-02 19:00:00+00:00,39.07521,39.07521
2018-01-02 19:30:00+00:00,38.01848,38.01848
2018-01-02 20:00:00+00:00,38,38
2018-01-02 20:30:00+00:00,37.54532,37.54532
2018-01-02 21:00:00+00:00,38.0352,38.0352
2018-01-02 21:30:00+00:00,38.16165,38.16165
2018-01-02 22:00:00+00:00,37.18623,37.18623
2018-01-02 22:30:00+00:00,39.08,39.08
2018-01-02 23:00:00+00:00,68,68
2018-01-02 23:30:00+00:00,68,68
2018-01-03 00:00:00+00:00,68,68
2018-01-03 00:30:00+00:00,68,68
2018-01-03 01:00:00+00:00,74,74
2018-01-03 01:30:00+00:00,72.02484,72.02484
2018-01-03 02:00:00+00:00,36.41967,36.41967
2018-01-03 02:30:00+00:00,36,36
2018-01-03 03:00:00+00:00,36.41522,36.41522
2018-01-03 03:30:00+00:00,74,74
2018-01-03 04:00:00+00:00,69.13995,69.13995
2018-01-03 04:30:00+00:00,63.5,63.5
2018-01-03 05:00:00+00:00,63.5,63.5
2018-01-03 05:30:00+00:00,37.32021,37.32021
2018-01-03 06:00:00+00:00,63.5,63.5
2018-01-03 06:30:00+00:00,37,37
2018-01-03 07:00:00+00:00,37.08631,37.08631
2018-01-03 07:30:00+00:00,37,37
