local_datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem
2018-01-01 00:00:00+00:00,5361,0,1237,7267,8596,0,353,0,89,1408,206,710,432,749,0
2018-01-01 00:30:00+00:00,5739,0,1404,7265,8750,0,353,0,89,1404,200,710,432,756,0
2018-01-01 01:00:00+00:00,5885,0,1525,7263,8631,0,350,0,89,1406,210,722,432,756,0
2018-01-01 01:30:00+00:00,5355,0,1589,7258,8595,0,346,0,89,1404,212,726,432,755,0
2018-01-01 02:00:00+00:00,5089,0,1571,7257,8437,0,339,0,89,1306,212,676,432,752,0
2018-01-01 02:30:00+00:00,4748,0,1558,7253,8400,0,324,0,89,1306,212,674,432,754,0
2018-01-01 03:00:00+00:00,4459,0,1594,7255,8410,0,281,0,89,1306,212,682,432,757,0
2018-01-01 03:30:00+00:00,3807,0,1555,7258,8188,0,279,0,89,1304,214,672,432,757,0
2018-01-01 04:00:00+00:00,3660,0,1422,7254,8168,0,276,0,89,1306,214,464,432,756,0
2018-01-01 04:30:00+00:00,3351,0,1441,7258,8227,0,268,0,89,1306,214,458,432,757,0
2018-01-01 05:00:00+00:00,3577,0,1593,7260,8136,0,265,0,89,1306,214,228,432,757,0
2018-01-01 05:30:00+00:00,3827,0,1581,7259,7901,0,263,0,89,1306,212,220,432,758,0
2018-01-01 06:00:00+00:00,4558,0,1700,7262,7784,0,262,0,89,1304,208,366,432,757,0
2018-01-01 06:30:00+00:00,5138,0,1647,7264,7611,0,289,0,89,1310,208,366,432,757,0
2018-01-01 07:00:00+00:00,5652,0,1669,7261,7429,0,462,0,89,816,208,0,432,758,0
2018-01-01 07:30:00+00:00,5857,0,1598,7268,7031,0,408,0,89,814,208,0,432,755,0
2018-01-01 08:00:00+00:00,6451,0,1554,7265,6898,322,347,0,88,718,208,0,432,755,0
2018-01-01 08:30:00+00:00,7394,0,1654,7267,6911,390,407,0,89,704,208,0,432,757,0
2018-01-01 09:00:00+00:00,8169,0,1555,7262,6436,532,501,0,89,1310,208,240,432,754,0
2018-01-01 09:30:00+00:00,9442,0,1635,7260,6266,492,516,0,89,1300,208,246,432,751,0
2018-01-01 10:00:00+00:00,9789,0,1638,7260,6225,470,570,0,89,1800,204,628,432,744,0
