local_datetime,T_EDINW-1,E_BABAW-1,E_BETHW-1,E_BRYBW-1,E_BTUIW-2,E_CLFLW-1,E_HRHLW-1,E_MOYEW-1,T_AKGLW-2,T_ARCHW-1,T_BHLAW-1,T_BLLA-1,T_BLLA-2,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CRMLW-1,T_CRYRW-2,T_DNLWW-1,T_DRSLW-1,T_DUNGW-1,T_EWHLW-1,T_FALGW-1,T_FARR-1,T_FARR-2,T_GLWSW-1,T_GNAPW-1,T_GORDW-1,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_HADHW-1,T_HRSTW-1,T_KILBW-1,T_KLGLW-1,T_LCLTW-1,T_MILWW-1,T_MKHLW-1,T_STLGW-1,T_STLGW-2,T_STRNW-1,T_WHILW-1,T_WHILW-2,2__PPGEN002,2__PPGEN003,2__PSTAT001,2__PSTAT002,E_ABRTW-1,E_ASLVW-1,E_BNWKW-1,E_CLDRW-1,E_DALSW-1,E_GDSTW-1,E_GLOFW-1,E_MINSW-1,E_TULWW-1,E_TULWW-2,T_CRGHW-1,T_GYMR-26,T_GYMR-28,T_SANQW-1,T_TDBNW-1,T_WISTW-2,T_WLNYO-3,T_WLNYO-4,T_HMGTO-1,T_HMGTO-2,T_BLKWW-1,T_CLDSW-1,T_MYGPW-1,2__PPGEN001,T_ANSUW-1,T_BEINW-1,T_BOWLW-1,T_FSDLW-1,T_THNTO-1,T_THNTO-2,T_WTMSO-1,T_LARYW-3,T_LARYW-4,T_WDNSO-1,E_ASHWW-1,T_ACHRW-1,T_COUWW-1,T_OMNDW-1,T_RRWW-1,T_WDNSO-2,T_WLNYO-2,T_WLNYW-1,E_BURBO,E_CRGTW-1,T_CRYRW-3,T_RCBKO-1,T_RCBKO-2,T_GNFSW-1,T_GNFSW-2,T_SHRSW-1,T_LNCSW-1,E_BRDUW-1,T_RREW-1,T_BRBEO-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3
2020-01-01 00:00:00+00:00,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00+00:00,-8.75,,,,,,-8.992,,,-28.467,-43.0,-30.975,-16.975,-32.0,,,,,,-28.467,,-8.525,-69.5,-14.919,-14.919,-19.667,-4.0,,,,,,-36.5,,,-89.0,,,,-32.0,,,-92.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:00:00+00:00,-0.5,,-9.017,,,,-8.483,,,-15.083,-29.025,-29.95,,,,,,,-8.017,-25.45,-31.246,-13.525,-44.25,,,-26.5,-8.017,,,,,,-25.008,,,-109.967,,,-14.525,,,-32.508,-53.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04 00:00:00+00:00,-3.0,,-8.992,,-20.008,-3.508,-13.0,,,-48.517,-34.4,-39.55,-24.975,-34.5,,,,,-9.525,-31.992,,-15.0,-70.8,,,-27.5,-6.5,,,,,,-39.467,,,-107.017,,,-18.042,-35.5,-40.992,-29.492,,-69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05 00:00:00+00:00,-9.0,,,,,,,,,,-51.233,,-9.25,-23.575,,,,,,-3.4,,-6.25,,,,,,,,,,,,,,-75.542,,,,,,-29.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 00:00:00+00:00,-8.0,,,,,,-9.516,,,-47.483,-42.008,-39.025,-23.459,-34.501,,,,,,-25.567,-42.5,-17.0,-68.0,-10.0,-16.5,-26.75,-7.0,,,,,,-36.008,,,-114.0,-23.5,,-22.5,-32.0,-37.0,-17.5,-71.0,-73.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07 00:00:00+00:00,-3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 00:00:00+00:00,-7.5,,,,,,-14.0,,,-42.008,-42.992,-44.992,-25.575,-34.5,-18.108,-67.792,-22.0,,,-32.0,-44.5,-15.008,-67.0,,-27.5,-27.5,-6.5,-28.475,-36.475,-36.475,,,-42.458,,,-112.008,-32.0,,,-36.0,-41.0,-33.491,-133.883,-67.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11 00:00:00+00:00,-10.5,,-13.0,,-18.0,-4.991,-14.484,-16.0,,-42.0,-54.0,-59.0,-30.0,-34.5,-93.5,-93.5,-22.0,,-14.0,-29.567,-47.0,-17.992,-72.0,,-35.0,-27.501,-7.5,-28.492,-46.5,-46.5,,,-48.5,-58.492,-33.375,-110.0,-31.5,-4.75,-11.0,-36.0,-39.5,-32.5,-151.992,-101.5,,,,,,,,,,,,,-7.75,-10.751,,,-46.0,,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
